Entity,Wallet,Label,,,,,,,,,,
Coinbase 1,0x71660c4005ba85c37ccec55d0c4493e66fe775d3,Exchange,,,,,,,,,,
Coinbase 2,0x503828976d22510aad0201ac7ec88293211d23da,Exchange,,,,,,,,,,
Coinbase 3,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Exchange,,,,,,,,,,
Coinbase 4,0x3cd751e6b0078be393132286c442345e5dc49699,Exchange,,,,,,,,,,
Coinbase 5,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Exchange,,,,,,,,,,
Coinbase 6,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Exchange,,,,,,,,,,
Coinbase: Coinbase Commerce,0xf6874c88757721a02f47592140905c4336dfbc61,Exchange,,,,,,,,,,
Coinbase: Miscellaneous,0xa090e606e30bd747d4e6245a1517ebe430f0057e,Exchange,,,,,,,,,,
Crypto.com,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Exchange,,,,,,,,,,
Crypto.com 2,0x46340b20830761efd32832a74d7169b29feb9758,Exchange,,,,,,,,,,
FTX Exchange,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,Exchange,,,,,,,,,,
FTX Exchange 2,0xc098b2a3aa256d2140208c3de6543aaef5cd3a94,Exchange,,,,,,,,,,
HitBTC 1,0x9c67e141c0472115aa1b98bd0088418be68fd249,Exchange,,,,,,,,,,
HitBTC 2,0x59a5208b32e627891c389ebafc644145224006e8,Exchange,,,,,,,,,,
HitBTC 3,0xa12431d0b9db640034b0cdfceef9cce161e62be4,Exchange,,,,,,,,,,
OpenSea: Wallet,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,Exchange,,,,,,,,,,
Poloniex,0x32be343b94f860124dc4fee278fdcbd38c102d88,Exchange,,,,,,,,,,
Poloniex 2,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Exchange,,,,,,,,,,
Poloniex 3,0xb794f5ea0ba39494ce839613fffba74279579268,Exchange,,,,,,,,,,
Poloniex 4,xa910f92acdaf488fa6ef02174fb86208ad7722ba,Exchange,,,,,,,,,,
Poloniex: BAT,0xaa9fa73dfe17ecaa2c89b39f0bb2779613c5fc3b,Exchange,,,,,,,,,,
Poloniex: BNT,0x2fa2bc2ce6a4f92952921a4caa46b3727d24a1ec,Exchange,,,,,,,,,,
Poloniex: CVC,0x31a2feb9b5d3b5f4e76c71d6c92fc46ebb3cb1c1,Exchange,,,,,,,,,,
Poloniex: FOAM,0x6b71834d65c5c4d8ed158d54b47e6ea4ff4e5437,Exchange,,,,,,,,,,
Poloniex: GNO,0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,Exchange,,,,,,,,,,
